TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-10_0004,11.84,12.09,11.83,0.10,0.22,0.10,0.05,0.19
2018-02-22T11-30-10_0005,11.83,12.09,11.85,0.05,0.26,0.08,0.02,0.44
2018-02-22T11-30-10_0006,11.83,12.07,11.84,0.05,0.50,0.09,0.00,0.18
2018-02-22T11-30-10_0007,11.84,12.09,11.82,0.06,0.20,0.13,0.05,0.16
2018-02-22T11-30-10_0008,11.85,12.11,11.85,0.09,0.20,0.10,-0.02,0.20
2018-02-22T11-30-10_0009,11.85,12.09,11.85,0.08,0.22,0.09,0.00,0.24
2018-02-22T11-30-10_0010,11.85,12.08,11.85,0.08,0.33,0.11,0.05,0.17
2018-02-22T11-30-10_0011,11.84,12.09,11.82,0.10,0.23,0.08,-0.02,0.17
2018-02-22T11-30-10_0012,11.84,12.09,11.83,0.07,0.23,0.09,0.00,0.18
2018-02-22T11-30-10_0013,11.85,12.09,11.84,0.08,0.22,0.06,0.00,0.20
2018-02-22T11-30-10_0014,11.82,12.09,11.85,0.08,0.34,0.10,0.02,0.36
2018-02-22T11-30-10_0015,11.83,12.10,11.85,0.08,0.22,0.09,0.02,0.47
2018-02-22T11-30-10_0016,11.84,12.09,11.85,0.08,0.23,0.10,0.00,0.35
2018-02-22T11-30-11_0000,11.85,12.10,11.85,0.08,0.20,0.11,0.09,0.21
2018-02-22T11-30-11_0001,11.85,12.10,11.84,0.09,0.19,0.08,0.02,0.19
2018-02-22T11-30-11_0002,11.84,12.09,11.86,0.08,0.21,0.09,0.00,0.42
2018-02-22T11-30-11_0003,11.83,12.09,11.85,0.05,0.20,0.09,-0.05,0.46
2018-02-22T11-30-11_0004,11.85,12.09,11.84,0.08,0.22,0.08,-0.02,0.17
2018-02-22T11-30-11_0005,11.85,12.10,11.85,0.05,0.23,0.09,-0.02,0.22
2018-02-22T11-30-11_0006,11.84,12.08,11.85,0.08,0.49,0.09,0.00,0.17
